Ending Weight Token,Ending Weight USD,Sale Rate, Total Proceeds ,Unsold Tokens,Average Price,Min Price
0.02,0.98,0.81," $3,228,975.30 ",9500000,0.079727785,0.007739915
0.02,0.98,0.82," $3,353,807.48 ",9000000,0.081800182,0.008459161
0.02,0.98,0.83," $3,484,321.30 ",8500000,0.083959549,0.009277004
0.02,0.98,0.84," $3,620,914.19 ",8000000,0.086212243,0.010212976
0.02,0.98,0.85," $3,764,030.71 ",7500000,0.088565429,0.011291956
0.02,0.98,0.86," $3,914,171.74 ",7000000,0.09102725,0.012546101
0.02,0.98,0.87," $4,071,906.10 ",6500000,0.093607037,0.014017689
0.02,0.98,0.88," $4,237,885.84 ",6000000,0.096315587,0.015763393
0.02,0.98,0.89," $4,412,866.56 ",5500000,0.099165541,0.017860906
0.02,0.98,0.9," $4,597,735.14 ",5000000,0.102171892,0.020419573
0.02,0.98,0.91," $4,793,548.59 ",4500000,0.105352716,0.023598187
0.02,0.98,0.92," $5,001,590.18 ",4000000,0.108730221,0.027636213
0.02,0.98,0.93," $5,223,453.70 ",3500000,0.112332338,0.032912006
0.02,0.98,0.94," $5,461,175.59 ",3000000,0.116195225,0.040059666
0.02,0.98,0.95," $5,717,454.31 ",2500000,0.120367459,0.050227139
0.02,0.98,0.96," $5,996,040.68 ",2000000,0.124917514,0.065724243
0.02,0.98,0.97," $6,302,498.63 ",1500000,0.129948425,0.091976363
0.02,0.98,0.98," $6,645,882.54 ",1000000,0.135630256,0.145388613
0.02,0.98,0.99," $7,043,148.94 ",500000,0.142285837,0.309000574
0.03,0.97,0.01," $9,189.43 ",49500000,0.018378858,0.000197146
0.03,0.97,0.02," $18,647.66 ",49000000,0.018647658,0.00020525
0.03,0.97,0.03," $28,382.78 ",48500000,0.01892185,0.000213702
0.03,0.97,0.04," $38,403.13 ",48000000,0.019201567,0.000222517
0.03,0.97,0.05," $48,717.36 ",47500000,0.019486946,0.000231713
0.03,0.97,0.06," $59,334.38 ",47000000,0.019778127,0.000241308
0.03,0.97,0.07," $70,263.40 ",46500000,0.020075256,0.000251321
0.03,0.97,0.08," $81,513.93 ",46000000,0.020378484,0.000261773
0.03,0.97,0.09," $93,095.83 ",45500000,0.020687963,0.000272684
0.03,0.97,0.1," $105,019.27 ",45000000,0.021003854,0.000284077
0.03,0.97,0.11," $117,294.77 ",44500000,0.021326321,0.000295976
0.03,0.97,0.12," $129,933.20 ",44000000,0.021655534,0.000308406
0.03,0.97,0.13," $142,945.83 ",43500000,0.021991666,0.000321393
0.03,0.97,0.14," $156,344.29 ",43000000,0.022334898,0.000334965
0.03,0.97,0.15," $170,140.62 ",42500000,0.022685417,0.000349152
0.03,0.97,0.16," $184,347.31 ",42000000,0.023043414,0.000363986
0.03,0.97,0.17," $198,977.25 ",41500000,0.023409089,0.000379498
