Ending Weight Token,Ending Weight USD,Sale Rate,Total Proceeds,Unsold Tokens,Average Price,Min Price
0.02,0.98,0.17,349739.4102,41500000,0.041145813,0.000326079
0.02,0.98,0.18,379309.3631,41000000,0.042145485,0.000345077
0.02,0.98,0.19,410172.9279,40500000,0.043176098,0.000365209
0.02,0.98,0.2,442387.7311,40000000,0.044238773,0.000386549
0.02,0.98,0.21,476014.1389,39500000,0.04533468,0.000409173
0.02,0.98,0.22,511115.4015,39000000,0.046465037,0.000433164
0.02,0.98,0.23,547757.806,38500000,0.047631114,0.000458613
0.02,0.98,0.24,586010.8375,38000000,0.048834236,0.000485614
0.02,0.98,0.25,625947.3513,37500000,0.050075788,0.000514271
0.02,0.98,0.26,667643.7547,37000000,0.051357212,0.000544693
0.02,0.98,0.27,711180.2004,36500000,0.052680015,0.000576998
0.02,0.98,0.28,756640.7913,36000000,0.054045771,0.000611314
0.02,0.98,0.29,804113.7992,35500000,0.055456124,0.000647777
0.02,0.98,0.3,853691.8965,35000000,0.056912793,0.000686535
0.02,0.98,0.31,905472.403,34500000,0.058417574,0.000727747
0.02,0.98,0.32,959557.5482,34000000,0.059972347,0.000771582
0.02,0.98,0.33,1016054.752,33500000,0.061579076,0.000818226
0.02,0.98,0.34,1075076.921,33000000,0.063239819,0.000867877
0.02,0.98,0.35,1136742.769,32500000,0.06495673,0.00092075
0.02,0.98,0.36,1201177.154,32000000,0.066732064,0.000977078
0.02,0.98,0.37,1268511.444,31500000,0.068568186,0.001037111
0.02,0.98,0.38,1338883.898,31000000,0.070467574,0.001101123
0.02,0.98,0.39,1412440.088,30500000,0.072432825,0.001169408
0.02,0.98,0.4,1489333.336,30000000,0.074466667,0.001242286
0.02,0.98,0.41,1569725.191,29500000,0.076571961,0.001320106
0.02,0.98,0.42,1653785.941,29000000,0.078751711,0.001403244
0.02,0.98,0.43,1741695.151,28500000,0.081009077,0.001492113
0.02,0.98,0.44,1833642.26,28000000,0.083347375,0.001587159
0.02,0.98,0.45,1929827.2,27500000,0.085770098,0.001688873
0.02,0.98,0.46,2030461.082,27000000,0.088280917,0.001797786
0.02,0.98,0.47,2135766.923,26500000,0.090883699,0.001914482
0.02,0.98,0.48,2245980.43,26000000,0.093582518,0.002039599
0.02,0.98,0.49,2361350.855,25500000,0.096381668,0.002173836
0.02,0.98,0.5,2482141.904,25000000,0.099285676,0.002317959
0.02,0.98,0.51,2608632.734,24500000,0.102299323,0.002472812
0.02,0.98,0.52,2741119.025,24000000,0.105427655,0.002639322
0.02,0.98,0.53,2879914.143,23500000,0.108676005,0.002818511
0.02,0.98,0.54,3025350.404,23000000,0.112050015,0.003011506
0.02,0.98,0.55,3177780.444,22500000,0.115555653,0.003219556
0.02,0.98,0.56,3337578.717,22000000,0.11919924,0.003444041
0.02,0.98,0.57,3505143.121,21500000,0.122987478,0.003686493
0.02,0.98,0.58,3680896.778,21000000,0.126927475,0.003948617
0.02,0.98,0.59,3865289.977,20500000,0.131026779,0.004232309
0.02,0.98,0.6,4058802.306,20000000,0.13529341,0.004539686
0.02,0.98,0.61,4261944.989,19500000,0.139735901,0.004873118
0.02,0.98,0.62,4475263.455,19000000,0.144363337,0.00523526
0.02,0.98,0.63,4699340.176,18500000,0.149185402,0.005629095
0.02,0.98,0.64,4934797.788,18000000,0.154212431,0.006057988
0.02,0.98,0.65,5182302.556,17500000,0.159455463,0.006525735
0.02,0.98,0.66,5442568.215,17000000,0.16492631,0.007036642
0.02,0.98,0.67,5716360.236,16500000,0.170637619,0.007595599
0.02,0.98,0.68,6004500.594,16000000,0.176602959,0.008208184
