Ending Weight Token,Ending Weight USD,Sale Rate,Total Proceeds,Unsold Tokens,Average Price,Min Price
0.02,0.98,0.17,187402.997,41500000,0.022047411,0.000244608
0.02,0.98,0.18,190603.4991,41000000,0.021178167,0.000249218
0.02,0.98,0.19,150126.9268,40500000,0.015802834,0.000231479
0.02,0.98,0.2,170255.5291,40000000,0.017025553,0.000244854
0.02,0.98,0.21,205894.6063,39500000,0.01960901,0.000266745
0.02,0.98,0.22,214740.0075,39000000,0.019521819,0.000274889
0.02,0.98,0.23,407173.6767,38500000,0.035406407,0.000382561
0.02,0.98,0.24,268591.7774,38000000,0.022382648,0.00031164
0.02,0.98,0.25,258798.0987,37500000,0.020703848,0.000310356
0.02,0.98,0.26,224807.5528,37000000,0.017292889,0.000295417
0.02,0.98,0.27,297152.4053,36500000,0.022011289,0.000340746
0.02,0.98,0.28,395838.3969,36000000,0.028274171,0.000402574
0.02,0.98,0.29,367631.428,35500000,0.025353892,0.000391696
0.02,0.98,0.3,293314.1604,35000000,0.019554277,0.000353068
0.02,0.98,0.31,366661.5219,34500000,0.023655582,0.000402465
0.02,0.98,0.32,360220.0958,34000000,0.022513756,0.000404439
0.02,0.98,0.33,779732.277,33500000,0.047256502,0.000671298
0.02,0.98,0.34,458208.067,33000000,0.026953416,0.000478541
0.02,0.98,0.35,402691.8299,32500000,0.023010962,0.000450327
0.02,0.98,0.36,601278.5009,32000000,0.033404361,0.000586619
0.02,0.98,0.37,701091.4208,31500000,0.037896834,0.000661929
0.02,0.98,0.38,401915.572,31000000,0.021153451,0.000471599
0.02,0.98,0.39,660080.4207,30500000,0.033850278,0.000655629
0.02,0.98,0.4,567042.2675,30000000,0.028352113,0.000601964
0.02,0.98,0.41,1037216.085,29500000,0.050595907,0.000944132
0.02,0.98,0.42,715499.5526,29000000,0.034071407,0.00072935
0.02,0.98,0.43,654910.683,28500000,0.030460962,0.000697868
0.02,0.98,0.44,598750.0565,28000000,0.027215912,0.000668556
0.02,0.98,0.45,878914.9766,27500000,0.039062888,0.000892911
0.02,0.98,0.46,469888.8865,27000000,0.020429952,0.000593915
0.02,0.98,0.47,378655.7777,26500000,0.016113012,0.000533415
0.02,0.98,0.48,1045665.062,26000000,0.043569378,0.00107802
0.02,0.98,0.49,699785.747,25500000,0.028562684,0.000816642
0.02,0.98,0.5,2061399.968,25000000,0.082455999,0.001967415
0.02,0.98,0.51,601511.754,24500000,0.023588696,0.000766432
0.02,0.98,0.52,836087.9993,24000000,0.032157231,0.000985986
0.02,0.98,0.53,462500.7952,23500000,0.01745286,0.000675841
0.02,0.98,0.54,997536.7893,23000000,0.036945807,0.001175076
0.02,0.98,0.55,2359513.765,22500000,0.085800501,0.002462045
0.02,0.98,0.56,965705.6067,22000000,0.034489486,0.001198364
0.02,0.98,0.57,975640.0982,21500000,0.034232986,0.001235864
0.02,0.98,0.58,1230429.879,21000000,0.042428617,0.00151802
0.02,0.98,0.59,972927.2216,20500000,0.032980584,0.001293408
0.02,0.98,0.6,1388961.104,20000000,0.046298703,0.001759051
0.02,0.98,0.61,1125656.278,19500000,0.036906763,0.001522901
0.02,0.98,0.62,1551915.693,19000000,0.050061797,0.002030309
0.02,0.98,0.63,989957.8276,18500000,0.031427233,0.001452451
0.02,0.98,0.64,868684.4345,18000000,0.027146389,0.001352464
0.02,0.98,0.65,1182090.824,17500000,0.036372025,0.001764173
0.02,0.98,0.66,2114873.858,17000000,0.064087087,0.00295906
0.02,0.98,0.67,1016822.277,16500000,0.030352904,0.001662476
0.02,0.98,0.68,1431134.993,16000000,0.042092206,0.002253862
0.02,0.98,0.69,1870123.268,15500000,0.054206472,0.002916578
0.02,0.98,0.7,1303456.748,15000000,0.037241621,0.002226853
0.02,0.98,0.71,1529898.526,14500000,0.043095733,0.002628995
0.02,0.98,0.72,3491071.795,14000000,0.096974217,0.005641182
0.02,0.98,0.73,1961865.735,13500000,0.053749746,0.003490399
0.02,0.98,0.74,4457198.952,13000000,0.120464837,0.007623533
0.02,0.98,0.75,2695909.13,12500000,0.07189091,0.004993141
0.02,0.98,0.76,1933762.26,12000000,0.050888481,0.003878093
0.02,0.98,0.77,2214970.855,11500000,0.057531711,0.004556231
0.02,0.98,0.78,3279018.333,11000000,0.084077393,0.006778765
0.02,0.98,0.79,3277362.846,10500000,0.082971211,0.007098436
0.02,0.98,0.8,2899128.039,10000000,0.072478201,0.006665476
0.02,0.98,0.81,1651533.144,9500000,0.040778596,0.004280195
0.02,0.98,0.82,2506511.104,9000000,0.061134417,0.006497532
0.02,0.98,0.83,3505620.052,8500000,0.084472772,0.009329216
0.02,0.98,0.84,3208508.316,8000000,0.076393055,0.009138765
0.02,0.98,0.85,2125630.722,7500000,0.050014841,0.006739643
0.02,0.98,0.86,1876702.555,7000000,0.043644245,0.006480308
0.02,0.98,0.87,3944289.103,6500000,0.090673313,0.013608509
0.02,0.98,0.88,4569577.84,6000000,0.103854042,0.016915602
0.02,0.98,0.89,2636315.208,5500000,0.059243038,0.0111281
0.02,0.98,0.9,6567592.299,5000000,0.145946496,0.028632276
0.02,0.98,0.91,5147637.121,4500000,0.113134882,0.025238664
0.02,0.98,0.92,4211167.316,4000000,0.091547116,0.023515884
0.02,0.98,0.93,6356724.885,3500000,0.136703761,0.039664707
0.02,0.98,0.94,5124621.251,3000000,0.109034495,0.037719475
0.02,0.98,0.95,6748649.699,2500000,0.142076836,0.058834432
0.02,0.98,0.96,6631639.859,2000000,0.138159164,0.07235925
0.02,0.98,0.97,8490134.612,1500000,0.175054322,0.122451311
0.02,0.98,0.98,4284745.696,1000000,0.08744379,0.095966181
0.02,0.98,0.99,4288316.732,500000,0.086632661,0.19307691
0.03,0.97,0.01,5931.566154,49500000,0.011863132,0.000195069
0.03,0.97,0.02,13581.95723,49000000,0.013581957,0.000201987
0.03,0.97,0.03,33173.55735,48500000,0.022115705,0.00021682
0.03,0.97,0.04,28069.62113,48000000,0.014034811,0.000215722
0.03,0.97,0.05,50955.61678,47500000,0.020382247,0.0002332
0.03,0.97,0.06,54228.13167,47000000,0.018076044,0.000237879
0.03,0.97,0.07,73838.93695,46500000,0.021096839,0.000253748
0.03,0.97,0.08,73529.55608,46000000,0.018382389,0.000256294
0.03,0.97,0.09,76590.75563,45500000,0.017020168,0.000261235
0.03,0.97,0.1,76170.98844,45000000,0.015234198,0.000263843
0.03,0.97,0.11,94745.4808,44500000,0.017226451,0.000279983
0.03,0.97,0.12,177141.6571,44000000,0.02952361,0.00034227
0.03,0.97,0.13,154892.5759,43500000,0.023829627,0.000330061
0.03,0.97,0.14,139044.6176,43000000,0.019863517,0.000322267
0.03,0.97,0.15,170312.8235,42500000,0.022708376,0.00034928
0.03,0.97,0.16,145012.2645,42000000,0.018126533,0.000334426
0.03,0.97,0.17,170620.0628,41500000,0.020072949,0.000357931
0.03,0.97,0.18,125261.2872,41000000,0.013917921,0.000327378
0.03,0.97,0.19,220684.2375,40500000,0.02322992,0.000405787
0.03,0.97,0.2,344714.6454,40000000,0.034471465,0.00050873
0.03,0.97,0.21,228751.8994,39500000,0.021785895,0.000422508
0.03,0.97,0.22,194147.2447,39000000,0.01764975,0.00039992
0.03,0.97,0.23,308852.7492,38500000,0.026856761,0.000499152
0.03,0.97,0.24,292790.2707,38000000,0.024399189,0.000492379
0.03,0.97,0.25,564233.1992,37500000,0.045138656,0.000727416
0.03,0.97,0.26,504844.9213,37000000,0.038834225,0.000686585
0.03,0.97,0.27,747866.9808,36500000,0.055397554,0.000906146
0.03,0.97,0.28,299617.883,36000000,0.021401277,0.000525724
0.03,0.97,0.29,311447.8123,35500000,0.021479159,0.000543648
0.03,0.97,0.3,612354.1581,35000000,0.040823611,0.000822778
0.03,0.97,0.31,372751.7614,34500000,0.024048501,0.000615494
0.03,0.97,0.32,239441.641,34000000,0.014965103,0.000500789
0.03,0.97,0.33,381883.3994,33500000,0.023144448,0.000642474
0.03,0.97,0.34,516906.4747,33000000,0.030406263,0.000781357
0.03,0.97,0.35,480830.2041,32500000,0.027476012,0.000758343
0.03,0.97,0.36,799095.3177,32000000,0.044394184,0.001084124
0.03,0.97,0.37,1199436.024,31500000,0.06483438,0.001502491
0.03,0.97,0.38,1374975.391,31000000,0.072367126,0.001705463
0.03,0.97,0.39,754942.7981,30500000,0.038715015,0.001091757
0.03,0.97,0.4,412357.1461,30000000,0.020617857,0.000749505
0.03,0.97,0.41,1033883.088,29500000,0.050433321,0.001427234
